"","GEOID","h_county","commuters"
"788",24005440600,24017,83
"789",24013507602,24017,38
"790",24013513001,24017,24
"791",24017851502,24017,627
"792",24021750701,24017,37
"793",24021752206,24017,9
"794",24025301707,24017,8
"795",24027605105,24017,89
"796",24027605404,24017,93
"797",24027605602,24017,18
"798",24027606601,24017,1
"799",24027606701,24017,13
"800",24027606706,24017,63
"801",24031700313,24017,59
"802",24031701002,24017,4
"803",24031701007,24017,114
"804",24031701205,24017,116
"805",24031702503,24017,72
"806",24031704600,24017,23
"807",24031704804,24017,162
"808",24031705602,24017,13
"809",24033800212,24017,78
"810",24033800504,24017,101
"811",24033801003,24017,548
"812",24035810800,24017,4
"813",24043011202,24017,7
"814",24510060400,24017,13
"815",24510120700,24017,11
"816",24510260501,24017,22
"817",24510260605,24017,55
"818",51013101408,24017,20
"819",51059470600,24017,8
"820",11001000904,24019,1
"821",11001010100,24019,12
"822",24003701104,24019,13
"823",24003702402,24019,112
"824",24003730401,24019,1
"825",24003740205,24019,3
"826",24003740304,24019,7
"827",24003741000,24019,14
"828",24005408704,24019,5
"829",24005421000,24019,1
"830",24005440600,24019,18
"831",24013507602,24019,11
"832",24013513001,24019,4
"833",24017851502,24019,2
"834",24021750701,24019,5
"835",24021752206,24019,1
"836",24025301707,24019,5
"837",24027605105,24019,11
"838",24027605404,24019,17
"839",24027605602,24019,7
"840",24027606701,24019,2
"841",24027606706,24019,14
"842",24031700313,24019,10
"843",24031701002,24019,1
"844",24031701007,24019,3
"845",24031701205,24019,6
"846",24031702503,24019,6
"847",24031704600,24019,3
"848",24031704804,24019,9
"849",24031705602,24019,1
"850",24033800212,24019,4
"851",24033800504,24019,4
"852",24033801003,24019,9
"853",24035810800,24019,44
"854",24043011202,24019,2
"855",24510060400,24019,12
"856",24510120700,24019,4
"857",24510260501,24019,7
"858",24510260605,24019,18
"859",11001000904,24021,13
"860",11001010100,24021,251
"861",24003701104,24021,24
"862",24003702402,24021,218
"863",24003730401,24021,10
"864",24003740205,24021,11
"865",24003740304,24021,22
"866",24003741000,24021,41
"867",24005408704,24021,12
"868",24005440600,24021,154
"869",24013507602,24021,506
"870",24013513001,24021,663
"871",24017851502,24021,17
"872",24021750701,24021,2115
"873",24021752206,24021,810
"874",24025301707,24021,11
"875",24027605105,24021,420
"876",24027605404,24021,235
"877",24027605602,24021,135
"878",24027606601,24021,5
"879",24027606701,24021,27
"880",24027606706,24021,189
"881",24031700313,24021,895
"882",24031701002,24021,117
"883",24031701007,24021,969
"884",24031701205,24021,889
"885",24031702503,24021,151
"886",24031704600,24021,77
"887",24031704804,24021,417
"888",24031705602,24021,30
"889",24033800212,24021,47
"890",24033800504,24021,60
"891",24033801003,24021,51
"892",24035810800,24021,16
"893",24043011202,24021,100
"894",24510060400,24021,79
"895",24510100100,24021,1
"896",24510120700,24021,24
"897",24510260501,24021,54
"898",24510260605,24021,102
"899",51013101408,24021,5
"900",51059470600,24021,6
"901",11001010100,24023,2
"902",24003702402,24023,8
"903",24003730401,24023,2
"904",24003740205,24023,2
"905",24003740304,24023,3
"906",24003741000,24023,5
"907",24005440600,24023,6
"908",24013507602,24023,9
"909",24013513001,24023,8
"910",24017851502,24023,5
"911",24021750701,24023,3
"912",24021752206,24023,2
"913",24027605105,24023,3
"914",24027605404,24023,7
"915",24027605602,24023,1
"916",24027606701,24023,1
"917",24027606706,24023,2
"918",24031700313,24023,7
"919",24031701205,24023,1
"920",24031702503,24023,3
"921",24031704600,24023,8
"922",24031704804,24023,12
"923",24033800212,24023,1
"924",24035810800,24023,5
"925",24043011202,24023,6
"926",24510060400,24023,2
"927",24510260501,24023,3
"928",24510260605,24023,20
"929",11001000904,24025,2
"930",11001010100,24025,62
"931",24003701104,24025,30
"932",24003702402,24025,374
"933",24003730401,24025,15
"934",24003740205,24025,31
"935",24003740304,24025,77
"936",24003741000,24025,97
"937",24005408704,24025,164
"938",24005421000,24025,13
"939",24005440600,24025,1146
"940",24013507602,24025,207
"941",24013513001,24025,35
"942",24017851502,24025,12
"943",24021750701,24025,43
"944",24021752206,24025,19
"945",24025301707,24025,796
"946",24027605105,24025,158
"947",24027605404,24025,213
"948",24027605602,24025,56
"949",24027606601,24025,6
"950",24027606701,24025,33
"951",24027606706,24025,144
"952",24031700313,24025,126
"953",24031701002,24025,8
"954",24031701007,24025,138
"955",24031701205,24025,122
"956",24031702503,24025,72
"957",24031704600,24025,25
"958",24031704804,24025,134
"959",24031705602,24025,9
"960",24033800212,24025,17
"961",24033800504,24025,20
"962",24033801003,24025,35
"963",24035810800,24025,27
"964",24043011202,24025,13
"965",24510060400,24025,840
"966",24510100100,24025,16
"967",24510120700,24025,221
"968",24510260501,24025,740
"969",24510260605,24025,1084
"970",51013101408,24025,1
"971",11001000904,24027,25
"972",11001010100,24027,551
"973",24003701104,24027,48
"974",24003702402,24027,632
"975",24003730401,24027,54
"976",24003740205,24027,120
"977",24003740304,24027,211
"978",24003741000,24027,152
"979",24005408704,24027,119
"980",24005421000,24027,8
"981",24005440600,24027,290
"982",24013507602,24027,261
"983",24013513001,24027,166
"984",24017851502,24027,7
"985",24021750701,24027,75
"986",24021752206,24027,32
"987",24025301707,24027,54
"988",24027605105,24027,4044
"989",24027605404,24027,2743
"990",24027605602,24027,2752
"991",24027606601,24027,176
"992",24027606701,24027,438
"993",24027606706,24027,939
"994",24031700313,24027,222
"995",24031701002,24027,66
"996",24031701007,24027,477
"997",24031701205,24027,688
"998",24031702503,24027,380
"999",24031704600,24027,160
"1000",24031704804,24027,463
"1001",24031705602,24027,55
"1002",24033800212,24027,414
"1003",24033800504,24027,99
"1004",24033801003,24027,36
"1005",24035810800,24027,28
"1006",24043011202,24027,8
"1007",24510060400,24027,852
"1008",24510100100,24027,27
"1009",24510120700,24027,121
"1010",24510260501,24027,440
"1011",24510260605,24027,601
"1012",51013101408,24027,14
