"","FIPS","county","gdp_2024"
"491"," 13159","Jasper, GA",325797
"492"," 13161","Jeff Davis, GA",520485
"493"," 13163","Jefferson, GA",521830
"494"," 13165","Jenkins, GA",164494
"495"," 13167","Johnson, GA",130592
"496"," 13169","Jones, GA",492746
"497"," 13171","Lamar, GA",497526
"498"," 13173","Lanier, GA",143652
"499"," 13175","Laurens, GA",2067597
"500"," 13177","Lee, GA",818362
"501"," 13179","Liberty, GA",4102994
"502"," 13181","Lincoln, GA",137459
"503"," 13183","Long, GA",231513
"504"," 13185","Lowndes, GA",5436352
"505"," 13187","Lumpkin, GA",1025121
"506"," 13189","McDuffie, GA",674616
"507"," 13191","McIntosh, GA",240172
"508"," 13193","Macon, GA",469669
"509"," 13195","Madison, GA",692794
"510"," 13197","Marion, GA",108492
"511"," 13199","Meriwether, GA",682318
"512"," 13201","Miller, GA",205208
"513"," 13205","Mitchell, GA",805629
"514"," 13207","Monroe, GA",1390761
"515"," 13209","Montgomery, GA",158178
"516"," 13211","Morgan, GA",1117555
"517"," 13213","Murray, GA",1480226
"518"," 13215","Muscogee, GA",10780155
"519"," 13217","Newton, GA",3507598
"520"," 13219","Oconee, GA",1957955
"521"," 13221","Oglethorpe, GA",399665
"522"," 13223","Paulding, GA",3910454
"523"," 13225","Peach, GA",1100681
"524"," 13227","Pickens, GA",1190281
"525"," 13229","Pierce, GA",478240
"526"," 13231","Pike, GA",387401
"527"," 13233","Polk, GA",1360809
"528"," 13235","Pulaski, GA",291106
"529"," 13237","Putnam, GA",673974
"530"," 13239","Quitman, GA",35590
"531"," 13241","Rabun, GA",640851
"532"," 13243","Randolph, GA",173768
"533"," 13245","Richmond, GA",13207421
"534"," 13247","Rockdale, GA",4543019
"535"," 13249","Schley, GA",119759
"536"," 13251","Screven, GA",315874
"537"," 13253","Seminole, GA",302168
"538"," 13255","Spalding, GA",2354665
"539"," 13257","Stephens, GA",1087059
"540"," 13259","Stewart, GA",163775
"541"," 13261","Sumter, GA",925490
"542"," 13263","Talbot, GA",240426
"543"," 13265","Taliaferro, GA",35439
"544"," 13267","Tattnall, GA",711377
"545"," 13269","Taylor, GA",212150
"546"," 13271","Telfair, GA",305501
"547"," 13273","Terrell, GA",235928
"548"," 13275","Thomas, GA",2391611
"549"," 13277","Tift, GA",2099592
"550"," 13279","Toombs, GA",1124907
"551"," 13281","Towns, GA",452394
"552"," 13283","Treutlen, GA",111018
"553"," 13285","Troup, GA",4203133
"554"," 13287","Turner, GA",206041
"555"," 13289","Twiggs, GA",239441
"556"," 13291","Union, GA",954557
"557"," 13293","Upson, GA",740315
"558"," 13295","Walker, GA",1724899
"559"," 13297","Walton, GA",3266676
"560"," 13299","Ware, GA",1426044
"561"," 13301","Warren, GA",208433
"562"," 13303","Washington, GA",648888
"563"," 13305","Wayne, GA",1255904
"564"," 13307","Webster, GA",59846
"565"," 13309","Wheeler, GA",121491
"566"," 13311","White, GA",1004816
"567"," 13313","Whitfield, GA",6171126
"568"," 13315","Wilcox, GA",166603
"569"," 13317","Wilkes, GA",381989
"570"," 13319","Wilkinson, GA",426739
"571"," 13321","Worth, GA",338102
"572"," 15000","Hawaii",91877966
"573"," 15001","Hawaii, HI",9431618
"574"," 15003","Honolulu, HI",68315829
"575"," 15007","Kauai, HI",4271283
"576"," 15901","Maui + Kalawao, HI*",9855200
"577"," 16000","Idaho",99567334
"578"," 16001","Ada, ID",35731361
"579"," 16003","Adams, ID",158849
"580"," 16005","Bannock, ID",3410715
"581"," 16007","Bear Lake, ID",226303
"582"," 16009","Benewah, ID",422241
"583"," 16011","Bingham, ID",1712442
"584"," 16013","Blaine, ID",1937608
"585"," 16015","Boise, ID",215172
"586"," 16017","Bonner, ID",1956126
"587"," 16019","Bonneville, ID",6903459
"588"," 16021","Boundary, ID",496559
"589"," 16023","Butte, ID",1583598
"590"," 16025","Camas, ID",86270
"591"," 16027","Canyon, ID",8920206
"592"," 16029","Caribou, ID",857858
"593"," 16031","Cassia, ID",1989930
"594"," 16033","Clark, ID",46268
"595"," 16035","Clearwater, ID",362670
"596"," 16037","Custer, ID",197984
"597"," 16039","Elmore, ID",1484687
"598"," 16041","Franklin, ID",478281
"599"," 16043","Fremont (includes Yellowstone Park), ID",421489
"600"," 16045","Gem, ID",520667
"601"," 16047","Gooding, ID",1309652
"602"," 16049","Idaho, ID",505189
"603"," 16051","Jefferson, ID",1040502
"604"," 16053","Jerome, ID",1485692
"605"," 16055","Kootenai, ID",8769037
"606"," 16057","Latah, ID",1644179
"607"," 16059","Lemhi, ID",418470
"608"," 16061","Lewis, ID",165784
"609"," 16063","Lincoln, ID",297383
"610"," 16065","Madison, ID",1568057
"611"," 16067","Minidoka, ID",971341
"612"," 16069","Nez Perce, ID",2281553
"613"," 16071","Oneida, ID",148729
"614"," 16073","Owyhee, ID",511498
"615"," 16075","Payette, ID",983105
"616"," 16077","Power, ID",436623
"617"," 16079","Shoshone, ID",689461
"618"," 16081","Teton, ID",500752
"619"," 16083","Twin Falls, ID",4580587
"620"," 16085","Valley, ID",654941
"621"," 16087","Washington, ID",518092
"622"," 17000","Illinois",899125864
"623"," 17001","Adams, IL",3602228
"624"," 17003","Alexander, IL",201779
"625"," 17005","Bond, IL",587691
"626"," 17007","Boone, IL",1628500
"627"," 17009","Brown, IL",438664
"628"," 17011","Bureau, IL",1173234
"629"," 17013","Calhoun, IL",96837
"630"," 17015","Carroll, IL",563678
"631"," 17017","Cass, IL",688259
"632"," 17019","Champaign, IL",12169367
"633"," 17021","Christian, IL",1431037
"634"," 17023","Clark, IL",554167
"635"," 17025","Clay, IL",598642
"636"," 17027","Clinton, IL",1170707
"637"," 17029","Coles, IL",2751881
"638"," 17031","Cook, IL",432556656
"639"," 17033","Crawford, IL",1264803
"640"," 17035","Cumberland, IL",1373863
"641"," 17037","DeKalb, IL",4287257
"642"," 17039","De Witt, IL",1226225
"643"," 17041","Douglas, IL",1070002
"644"," 17043","DuPage, IL",101729561
"645"," 17045","Edgar, IL",847431
"646"," 17047","Edwards, IL",280834
"647"," 17049","Effingham, IL",2333624
"648"," 17051","Fayette, IL",579373
"649"," 17053","Ford, IL",833921
"650"," 17055","Franklin, IL",1013965
"651"," 17057","Fulton, IL",857770
"652"," 17059","Gallatin, IL",134812
"653"," 17061","Greene, IL",319485
"654"," 17063","Grundy, IL",4741684
"655"," 17065","Hamilton, IL",340967
"656"," 17067","Hancock, IL",618252
"657"," 17069","Hardin, IL",93838
"658"," 17071","Henderson, IL",164956
"659"," 17073","Henry, IL",1548081
"660"," 17075","Iroquois, IL",1049279
"661"," 17077","Jackson, IL",2600977
"662"," 17079","Jasper, IL",483563
"663"," 17081","Jefferson, IL",1796801
"664"," 17083","Jersey, IL",508548
"665"," 17085","Jo Daviess, IL",860924
"666"," 17087","Johnson, IL",249121
"667"," 17089","Kane, IL",28613180
"668"," 17091","Kankakee, IL",6807457
"669"," 17093","Kendall, IL",4062578
"670"," 17095","Knox, IL",1851369
"671"," 17097","Lake, IL",65290037
"672"," 17099","LaSalle, IL",5826912
"673"," 17101","Lawrence, IL",547354
"674"," 17103","Lee, IL",1663230
"675"," 17105","Livingston, IL",2264241
"676"," 17107","Logan, IL",1033878
"677"," 17109","McDonough, IL",1084829
"678"," 17111","McHenry, IL",12112910
"679"," 17113","McLean, IL",13442187
"680"," 17115","Macon, IL",7025649
"681"," 17117","Macoupin, IL",1131376
"682"," 17119","Madison, IL",12941382
"683"," 17121","Marion, IL",1369011
"684"," 17123","Marshall, IL",527715
"685"," 17125","Mason, IL",469574
"686"," 17127","Massac, IL",373631
"687"," 17129","Menard, IL",267644
"688"," 17131","Mercer, IL",431910
"689"," 17133","Monroe, IL",1034708
"690"," 17135","Montgomery, IL",1466948
"691"," 17137","Morgan, IL",1513012
"692"," 17139","Moultrie, IL",725796
"693"," 17141","Ogle, IL",2941741
"694"," 17143","Peoria, IL",13265891
