"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","rho"
"01121",201809.18578282,201809.18578282,486592.102503413,1.89911853902606,486592.102503413,1.89911853902606,591430.472858212,1429742.92303406,5.57704400884449,4348766.83559224,10505308.0397363,9288.78304930646,22426.9086896905,0.0874743845843839,0,0,0,0
"01123",59841.8716031381,59841.8716031381,145361.105206293,0.566657325569992,145361.105206293,0.566657325569992,260515.447496995,632158.377462813,2.46696928846085,1680939.2563461,4078041.40318321,2363.16923458071,5887.61358418804,0.022885406598183,0,0,0,0
"01125",332096.270493665,332096.270493665,801832.249976033,3.12928522623903,801832.249976033,3.12928522623903,1939432.86213186,4685899.11718951,18.2830303618685,14367619.5260296,34696558.0764238,14240.1533096795,34543.7572027489,0.13456813196329,0,0,0,0
"01127",319380.5915519,319380.5915519,769888.490164734,3.00493234864465,769888.490164734,3.00493234864465,915529.636538931,2214501.87172557,8.64485196838156,6767868.44902063,16355741.6375366,14935.0562349926,36102.4743856436,0.140973858263381,0,0,0,0
"01129",9036.74262695062,9036.74262695062,22239.6072144646,0.0864113342060712,22239.6072144646,0.0864113342060712,30881.3085411525,76504.3367423651,0.295487378403674,214511.613376273,530165.832712636,392.509941590107,964.330381448254,0.00372038033911772,0,0,0,0
"01131",3026.62009494829,3026.62009494829,7511.80719255246,0.0291335527432143,7511.80719255246,0.0291335527432143,9011.41933847103,22702.463455469,0.0871026276904563,65418.280748833,164558.768668687,115.434907140559,283.731237161103,0.0010881977813391,0,0,0,0
"01133",34268.4898673406,34268.4898673406,82904.8857061866,0.32367734908033,82904.8857061866,0.32367734908033,110583.364976053,271746.85017395,1.06159246498239,797305.181918032,1952868.15170803,1700.81584783951,4172.33081599485,0.0163097360135232,0,0,0,0
"02013",0,0,0,0,0,0,216.950134725497,531.73782624088,0.00180068611822162,2355.83091950152,5774.06607150435,0,0,0,0,0,0,0
"02016",1.35362572294134,1.35362572294134,5.69803260400307,0.0000109643683558248,5.69803260400307,0.0000109643683558248,131.697996736438,340.580504127655,0.0011002551409815,3507.45560769154,12493.6829054898,0,0,0,0,0,0,0
"02020",26920.0455939,26700.0496467492,112338.091459021,0.219549432182392,111679.890699492,0.217283473926738,286497.664182859,935775.460998692,2.38622607466353,7906583.79147345,31795340.1063092,57.3137215685299,169.549403423782,0.000610292164952288,0,0,0,0
"02050",15.5666958138254,15.5666958138254,65.5273749460353,0.000126090236091986,65.5273749460353,0.000126090236091986,104.805740678321,427.368733514526,0.000850496798001866,283920.938240961,1192832.06615842,0,0,0,0,0,0,0
"02060",0.676812861470669,0.676812861470669,2.84901630200153,0.00000548218417791242,2.84901630200153,0.00000548218417791242,4.2154020930873,17.7445642161716,0.0000341447569540072,532.211236573947,2240.32162422682,0,0,0,0,0,0,0
"02063",1033.67260476806,1033.67260476806,4351.20292412503,0.00837274809862133,4351.20292412503,0.00837274809862133,4215.65215601434,17725.6623061836,0.0341569978812685,56087.0871858902,235478.163451316,0,0,0,0,0,0,0
"02066",8.12175433764803,8.12175433764803,34.1881956240184,0.0000657862101349491,34.1881956240184,0.0000657862101349491,50.5848251170477,212.934770594059,0.000409737083448086,6386.53483888736,26883.8594907218,0,0,0,0,0,0,0
"02068",497.547135832118,497.547135832118,2094.40449745547,0.00403013180024016,2094.40449745547,0.00403013180024016,1919.09382929844,8078.34767333061,0.0155446600173174,12054.9356279871,50744.762812405,0,0,0,0,0,0,0
"02070",9.47538006058937,9.47538006058937,39.8862282280215,0.0000767505784907739,39.8862282280215,0.0000767505784907739,91.2873177952443,357.871910421958,0.000751615087336498,10160.5468669419,42608.2449982722,0,0,0,0,0,0,0
"02090",243679.106836505,243679.106836505,1025329.49548174,1.97486646752098,1025329.49548174,1.97486646752098,941838.577437986,3957436.39595621,7.64199796801764,5194851.4293433,21820103.2703524,43.21348638594,134.038550081024,0.000503283020758444,0,0,0,0
"02100",0,0,0,0,0,0,109.005869338886,458.855787825176,0.000882947541644977,1088.85346173868,4583.48450448106,0,0,0,0,0,0,0
"02105",0,0,0,0,0,0,233.584005726184,983.262402482519,0.00189203044638209,2333.25741801145,9821.75250960226,0,0,0,0,0,0,0
