"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"3412",13874434.3,35518551.808,153.138360048317,69588589,178146787.84,0,0,0,0,0,0,483401.1136
"3501",18773714.1,48060708.096,207.213910644989,103187032,264158801.92,0,0,0,0,0,0,59676765.568
"3502",861819.25,2206257.28,9.51228596059378,10465598,26791930.88,0,0,0,0,0,0,1358830.2848
"3601",30425367.9,77888941.824,335.818444437242,140229082,358986449.92,0,0,0,0,0,0,8608282.9056
"3602",166263.75,425635.2,1.83512764988793,931077,2383557.12,0,0,0,0,0,0,NA
"3603",23559907.2,60313362.432,260.041272565509,84395825,216053312,0,0,0,0,0,0,703155.7632
"3604",0,0,0,41974,107453.44,0,0,0,0,0,0,NA
"3605",1097483.4,2809557.504,12.1134169813505,4124033,10557524.48,0,0,0,0,0,0,NA
"3606",658352.55,1685382.528,7.26653264995661,6268803,16048135.68,0,0,0,0,0,0,29644.6976
"3607",1395733.3,3573077.248,15.4053350216107,5470604,14004746.24,0,0,0,0,0,0,16128
"3608",0,0,0,71980,184268.8,0,0,0,0,0,0,NA
"3609",3450129.8,8832332.288,38.0806314766887,27814037,71203934.72,0,0,0,0,0,0,1609651.3024
"3610",102646125.85,262774082.176,1132.95137214944,619936179,1587036618.24,0,0,0,0,0,0,18141642.7264
"3611",189634.5,485464.32,2.09308110951829,2516632,6442577.92,0,0,0,0,0,0,NA
"3612",147233430.35,376917581.696,1625.08146858911,672637525,1721952064,0,0,0,0,0,0,78552087.8592
"3613",254841526.55,652394307.968,2812.80033507937,1294208831,3313174607.36,0,0,0,0,0,0,1071096084.864
"3614",38141410.6,97642011.136,420.983871696557,195059023,499351098.88,0,0,0,0,0,0,5588620.288
"3615",513559.75,1314712.96,5.66838951421781,4985426,12762690.56,0,0,0,0,0,0,4556764.3136
"3616",1824960.8,4671899.648,20.1429116331226,11849298,30334202.88,0,0,0,0,0,0,293583.1808
"3617",5413204.4,13857803.264,59.7479671241325,28551284,73091287.04,0,0,0,0,0,0,172577.4848
"3618",51297,131320.32,0.566188017871009,542756,1389455.36,0,0,0,0,0,0,NA
"3619",24817016.7,63531562.752,273.916554473843,125993886,322544348.16,0,0,0,0,0,0,23708933.632
"3620",11294869.15,28914865.024,124.666541438113,59006836,151057500.16,0,0,0,0,0,0,2930494.8736
"3621",337802.55,864774.528,3.72847839476524,2976480,7619788.8,0,0,0,0,0,0,176827.4688
"3622",8135169.7,20826034.432,89.7915201178878,40203312,102920478.72,0,0,0,0,0,0,50271.0528
"3623",82847.85,212090.496,0.914428913511017,2248031,5754959.36,0,0,0,0,0,0,NA
"3624",108673.15,278203.264,1.19947434341772,890929,2280778.24,0,0,0,0,0,0,NA
"3625",35989075.75,92132033.92,397.227585704858,204179914,522700579.84,0,0,0,0,0,0,19440826.3029166
"3626",42749191.85,109437931.136,471.842021933816,231182585,591827417.6,0,0,0,0,0,0,11297112.1152
"3702",7938814.3,20323364.608,87.6242574178416,54398613,139260449.28,0,0,0,0,0,0,1241044.48
"3703",1352705.05,3462924.928,14.9304129095971,7882678,20179655.68,0,0,0,0,0,0,208459.4176
"3704",237170688.05,607156961.408,2617.75935754786,1982595446,5075444341.76,0,0,0,0,0,0,1175020088.39849
"3705",1691009.95,4328985.472,18.6644359668334,12159580,31128524.8,0,0,0,0,0,0,546798.7712
"3706",102000,261120,1.12581979107634,1362031,3486799.36,0,0,0,0,0,0,NA
"3707",2531650.45,6481025.152,27.942962555856,10653870,27273907.2,0,0,0,0,0,0,241994.9568
"3708",0,0,0,1232633,3155540.48,0,0,0,0,0,0,118237.2608
"3709",95640.4,244839.424,1.05562603084762,873885,2237145.6,0,0,0,0,0,0,NA
"3710",24528748.1,62793595.136,270.734804522609,158392911,405485852.16,0,0,0,0,0,0,13735912.96
"3711",15392.75,39405.44,0.169896692049905,220846,565365.76,0,0,0,0,0,0,NA
"3712",3898399.7,9979903.232,43.0283876057457,19536041,50012264.96,0,0,0,0,0,0,3234182.8096
"3713",96457.9,246932.224,1.06464914534963,2774587,7102942.72,0,0,0,0,0,0,1272458.0352
"3714",65175.3,166848.768,0.719369045385663,1251071,3202741.76,0,0,0,0,0,0,NA
"3800",3500085.6,8960219.136,38.6320160680519,27838527,71266629.12,0,0,0,0,0,0,438835.84
"3901",47458283.75,121493206.4,523.818383296731,276944381,708977615.36,0,0,0,0,0,0,10882837.2992
