"FIPS","IDC_econ_loss_natl","term_econ_loss_natl"
"05019",96146.6075302604,22727.4244145257
"05021",50240.9178683243,5117.35212473603
"05023",49436.6702296517,17148.4859049514
"05025",30814.0832239837,7177.52477595871
"05027",46882.059573374,10843.3224887571
"05029",117362.233619742,27910.8478683044
"05031",363726.029946934,54680.4374350374
"05033",97179.3801959768,22272.470319237
"05035",2125968.46018577,45523.8427902205
"05037",63398.2278107462,3902.39571097013
"05039",24784.4836097374,6720.98622261529
"05041",36998.0052650103,7875.94177878982
"05043",51378.9663647295,10417.0689850973
"05045",2285902.00689485,540853.987984841
"05047",14105.3484954867,2715.45601241551
"05049",33071.9111193825,7482.82937744941
"05051",695737.130881804,183432.964749793
"05053",326647.942118933,73301.5134331592
"05055",140340.195233723,18311.8352628596
"05057",59800.9343119147,13581.2649135773
"05059",225016.280561209,57633.9105203679
"05061",9502.44407810642,1652.48545621243
"05063",83132.0312648289,16255.7817634977
"05065",22908.4621917017,4532.90812304755
"05067",65817.6774605346,16802.4655565382
"05069",910492.361478908,240463.527533599
"05071",93238.5543751173,24483.5926680985
"05073",43849.8235611408,207960.826560775
"05075",51995.4837658054,7110.61555707427
"05077",56676.5153404675,4619.82222469813
"05079",42515.1505754078,10633.7273451975
"05081",28796.2499204725,6553.47203431892
"05083",20824.8459419055,5346.91994115692
"05085",1861659.63520276,457306.740066132
"05087",22199.2721695308,3617.30543415692
"05089",40441.9883369747,6675.1290520343
"05091",89202.9372655793,21595.908451703
"05093",143659.102694181,12321.0934154677
"05095",37546.3579446528,7681.12711156033
"05097",38783.1715800056,9065.8162460951
"05099",12818.2405485314,2715.45601241551
"05101",18577.0164561363,2937.98385226152
"05103",61815.3917651189,15163.9564890097
"05105",34538.6033270376,8161.19755603285
"05107",36665.6058799562,5099.0550366988
"05109",24191.123187762,4515.44866748218
"05111",144728.00513166,9066.79869227713
"05113",21325.3570435337,4091.71867418613
"05115",235606.650276359,57170.191832172
"05117",58599.5738287231,9601.40888945041
"05119",23602602.6399584,6178774.2361928
"05121",61830.9934706359,9510.96777943687
"05123",165567.871437839,16518.8567963308
"05125",4551101.31846042,1158329.49142549
