"GEOID","IDC_econ_loss","static_IDC_loss","terminated_econ_loss","static_term_loss","pol_party","state"
"3624",25247455.9452471,253273.586420901,32781908.118155,0,"Republican","New York"
"3625",68913450.9627362,83759584.810197,15086032.4108762,15932041.1756489,"Democrat","New York"
"3626",38216271.5700855,62915164.5575548,7594906.58423044,6984402.61948085,"Democrat","New York"
"3702",75807082.982607,19502437.7615287,65202618.8407074,2865549.71855227,"Democrat","North Carolina"
"3703",10111317.7613675,3323046.11878006,7925729.78544823,28688.5137990382,"Republican","North Carolina"
"3704",341766183.636082,540554360.570464,330599739.859102,545670991.584525,"Democrat","North Carolina"
"3705",17536544.1511752,4154123.65849152,10805930.7412957,440717.622551253,"Republican","North Carolina"
"3706",23186108.2802879,250572.513287775,10144834.4280006,0,"Republican","North Carolina"
"3707",11243260.9906058,6219235.45120223,5003231.08746647,232219.992832194,"Republican","North Carolina"
"3708",8902261.1795536,0,7854865.64939115,0,"Republican","North Carolina"
"3709",33835350.9821441,234949.562743609,18776514.0005485,0,"Republican","North Carolina"
"3710",28021093.7659742,60257157.4433308,10774378.0385953,10399284.5456492,"Republican","North Carolina"
"3711",5028141.50818676,37813.7260187294,3896655.20537025,0,"Republican","North Carolina"
"3712",10725739.9232302,4788392.45687168,10861766.9512443,414453.225856745,"Democrat","North Carolina"
"3713",48921500.7116985,236957.827739813,54922023.8104313,1925991.03455328,"Republican","North Carolina"
"3714",8185261.4570848,160109.203189066,7272321.83474622,0,"Republican","North Carolina"
"3800",9719479.85178324,11943149.2310204,194572.577548282,226041.296979592,"Republican","North Dakota"
"3901",64097091.0181551,123386950.192363,7361806.80065048,4518855.83308381,"Democrat","Ohio"
"3903",73150034.0432888,167237423.596936,9222753.70103853,17623219.4742968,"Democrat","Ohio"
"3904",16654106.0836595,49286.3675205413,1707090.01048075,0,"Republican","Ohio"
"3905",12466808.4473413,245690.865152247,2122018.17980202,0,"Republican","Ohio"
"3907",44038344.1704411,1179923.10016433,3643030.71488429,0,"Republican","Ohio"
"3908",34252698.0537142,2097790.37362977,4493734.29758116,0,"Republican","Ohio"
"3909",11627614.9930035,6996048.42517158,592725.589438513,0,"Democrat","Ohio"
"3910",6659081.27829474,3407988.39014016,356105.090224416,0,"Republican","Ohio"
"3911",93826582.7401561,176536068.194877,12322550.3346829,8474009.18222136,"Democrat","Ohio"
"3912",17311856.7710248,1750399.34971484,1491257.72563397,0,"Republican","Ohio"
"3913",14544289.6709352,550998.813726438,963414.117108212,0,"Democrat","Ohio"
"3914",27791418.309104,6865609.19493475,1730565.9242332,1091218.4282262,"Republican","Ohio"
"3915",47476680.6509853,374674.799497342,7349096.79569655,0,"Republican","Ohio"
"4001",10565951.7504895,9617156.43488818,253847.957006533,0,"Republican","Oklahoma"
"4002",2985561.69381216,0,777911.422471883,674594.380428115,"Republican","Oklahoma"
"4003",11899258.7874411,4840326.31389776,938824.958935007,575200.918830671,"Republican","Oklahoma"
"4004",17326372.166851,4733751.54325879,3196569.81403522,3283116.55591054,"Republican","Oklahoma"
"4005",31857670.155085,55984027.1619489,1352220.11591771,2045774.76741853,"Republican","Oklahoma"
"4101",43164000.169952,117851855.846459,381962.174161138,1218033.0156477,"Democrat","Oregon"
"4103",37184094.3982095,1987810.87754625,368549.371877973,0,"Democrat","Oregon"
"4104",24654795.5388631,28743918.092377,41980.9166298304,0,"Democrat","Oregon"
"4105",20678919.7673667,861220.082848313,236113.344414691,0,"Democrat","Oregon"
"4106",14615803.723541,6147.42070563998,168231.149827094,0,"Democrat","Oregon"
"4201",36086980.6748688,2889732.72284172,5495122.94214069,0,"Republican","Pennsylvania"
"4202",77788664.2898123,87375550.1878124,13164065.8380265,5870078.73440094,"Democrat","Pennsylvania"
"4203",176212440.864807,466643654.14227,36421386.5746786,103327444.184192,"Democrat","Pennsylvania"
"4204",56866066.9235753,332447.309719639,12899318.3507964,0,"Democrat","Pennsylvania"
"4205",110606209.944209,1937240.71395001,25523049.516913,0,"Democrat","Pennsylvania"
"4206",28657078.746244,3852162.54678583,5608148.88874264,0,"Democrat","Pennsylvania"
"4207",10144675.5303338,3344090.06556957,1859838.46723568,0,"Republican","Pennsylvania"
"4209",13424617.9487702,4459861.72028308,2717745.25308218,0,"Republican","Pennsylvania"
"4210",29417273.971144,42468857.3450324,9074468.90532331,11158522.916349,"Republican","Pennsylvania"
"4211",16052511.9974527,851158.655180783,2253192.15662785,0,"Republican","Pennsylvania"
"4212",145402047.530327,305528812.752391,18089653.8744976,26114376.935512,"Democrat","Pennsylvania"
"4213",12570011.813724,38316.5128589575,1358502.6344217,0,"Republican","Pennsylvania"
"4215",41952986.9834963,44641067.5597903,4433853.90385707,3770256.19506782,"Republican","Pennsylvania"
"4217",93661021.6827096,407629.444317924,10217937.5677824,0,"Democrat","Pennsylvania"
"4401",46300217.6863687,57059993.1534512,398641973.682057,769406988.079874,"Democrat","Rhode Island"
"4402",33405274.6827757,21470332.4412617,219850652.644716,1566871.40270474,"Democrat","Rhode Island"
"4501",36716017.2695957,550572.222422062,4023366.87895355,0,"Republican","South Carolina"
"4502",21743549.6400695,653017.740407674,10129901.4001513,0,"Republican","South Carolina"
"4503",14846423.4420175,12415328.9667266,2948965.71937535,1871370.54434452,"Republican","South Carolina"
"4504",4214812.12891724,2643463.40107914,742660.874265048,0,"Republican","South Carolina"
"4505",3913982.22901916,98336.7204236611,1794908.7059907,0,"Republican","South Carolina"
"4506",35421609.2510345,94257566.1199041,8790268.23718399,25356134.2153934,"Democrat","South Carolina"
"4600",15496492.8205461,15172287.0505208,5123637.98845863,186232.211666666,"Republican","South Dakota"
"4701",3846229.396747,2885484.11626558,1340510.37110667,1086026.82551918,"Republican","Tennessee"
"4702",6897265.01742602,5107868.16262521,2840493.67012005,2184093.64792939,"Republican","Tennessee"
"4703",3607637.37732001,1027340.97535426,3912304.19213821,0,"Republican","Tennessee"
"4704",25964129.830601,201324.56239311,1897324.30440102,0,"Republican","Tennessee"
"4705",118213990.792503,784672.070822135,5949953.74933305,0,"Republican","Tennessee"
"4707",84029577.0844058,295775089.920015,5556965.70277558,13025155.3763376,"Republican","Tennessee"
"4708",25460685.1928801,164564.815202785,737149.164646488,0,"Republican","Tennessee"
"4709",60357900.1336708,93949386.641064,3151154.52956597,1478373.88565844,"Democrat","Tennessee"
"4801",6867846.89417463,4181065.06307246,1421568.08130225,0,"Republican","Texas"
"4802",31393425.4309587,214205.843520422,5340966.58999101,0,"Republican","Texas"
"4803",16635457.080553,0,1372396.5022289,0,"Republican","Texas"
"4804",14344493.4956946,612158.374418972,1295500.72533579,0,"Republican","Texas"
"4807",99917587.7242828,15448678.6825698,14616235.9889927,0,"Democrat","Texas"
"4808",22292294.2234256,30312.5649855073,4483475.95396217,0,"Republican","Texas"
"4809",128831633.143175,466463905.8917,19786944.8680366,55835578.3514013,"Democrat","Texas"
"4810",42778016.869155,50007261.5820184,5745045.50040691,5013960.30451225,"Republican","Texas"
"4811",2609323.42244763,346394.419151515,541977.812444188,0,"Republican","Texas"
"4812",16075397.0397334,17138234.6477154,1859466.85492981,1203422.47194308,"Republican","Texas"
"4813",4726048.49908368,1512890.96616601,528262.600605741,0,"Republican","Texas"
"4814",54221424.5587964,49268252.2936706,87262542.168205,119431454.057929,"Republican","Texas"
"4815",8950481.57222852,8244768.08362582,910564.832386162,0,"Republican","Texas"
"4816",10102551.8079504,10840759.274224,8796429.11674895,10023533.8848021,"Democrat","Texas"
"4817",12641291.425841,2335708.90508564,8180173.35314384,7238818.62356574,"Republican","Texas"
"4818",51740445.0449373,25154642.6075468,8122396.96564169,9702587.59360211,"Democrat","Texas"
"4819",12198375.162254,12291416.1594625,580650.886058625,0,"Republican","Texas"
"4820",53392182.4147951,107308174.403531,8813908.40806943,19819584.997112,"Democrat","Texas"
"4821",22870021.0116679,302237.384938076,5480516.96451636,0,"Republican","Texas"
"4822",52522986.5216169,855613.351262187,9903446.0494583,0,"Republican","Texas"
"4823",19840194.8522496,53885.4885270092,4019777.87286344,0,"Republican","Texas"
"4824",27508549.3147612,746975.258455863,2834178.30259488,0,"Republican","Texas"
"4825",13344341.5185881,4725894.50664559,3088325.34811484,4009857.37640685,"Republican","Texas"
"4830",43293869.6546579,212300792.79571,4030184.33402836,17508150.4694952,"Democrat","Texas"
"4832",33402321.2381306,15666563.080643,2694312.51945315,174412.027282213,"Democrat","Texas"
"4833",25263889.2726013,126905.159114625,2550039.98540991,0,"Democrat","Texas"
"4834",3891719.69764959,567180.720326746,432181.612902132,0,"Democrat","Texas"
"4835",21389422.4652475,1888591.99270619,3996359.62142328,2967493.60747088,"Democrat","Texas"
